event_id,source_id,kind,geocent_time,ra,dec,sky_area_90_deg2,network_snr,family,tag,pair_id,source_index
4715,1715,PM,1169616669.809265,0.7200748894989449,0.4280820192402218,1068.7880566819927,3.670586390305381,PM,L1,1715,5629
4716,1716,PM,1298170092.9312458,5.228200785672649,0.4652348287333386,480.69832613606627,5.473245656972464,PM,L1,1716,9008
4717,1717,PM,1214721868.955832,2.5204589384868736,-1.5294530911733146,312.9444201775962,6.7834033230023385,PM,L1,1717,3839
4718,1718,PM,1271247724.8288329,5.404523817180295,0.5546859681144795,111.43729569696225,11.367526201266577,PM,L1,1718,5642
4719,1719,PM,1214006270.621191,2.0032401219613694,1.106081946612442,2000.0,1.111973020587548,PM,L1,1719,2737
4720,1720,PM,1136202806.3248894,0.643073723881385,-0.6566384461414547,413.4756940613605,5.901416323349507,PM,L1,1720,6170
4721,1721,PM,1247086478.6341407,0.6070006121459932,-0.6531903412900802,1301.7113393083885,3.3260126911001877,PM,L1,1721,9642
4722,1722,PM,1407162835.051299,2.266263777613733,1.0065334918531577,190.0444483174774,8.70469687893901,PM,L1,1722,2643
4723,1723,PM,1342613149.901363,2.257145400578873,0.0366863385966801,128.38079718306946,10.590859630032757,PM,L1,1723,7020
4724,1724,PM,1266821054.193244,3.007469787432258,-0.767339164021553,2000.0,1.1560443500582291,PM,L1,1724,3928
4725,1725,PM,1421364596.9420493,2.2222193918077946,-0.7727556004463386,233.58733618353668,7.851571664645417,PM,L1,1725,5339
4726,1726,PM,1313705039.4492047,5.866725533042142,-0.2235297512295453,978.7158694000849,3.835773292284068,PM,L1,1726,7865
4727,1727,PM,1406386567.9234943,5.678509955404539,0.0808622020789532,15.874807687714615,30.1180610746851,PM,L1,1727,5931
4728,1728,PM,1378955135.3872728,3.9897088202709807,0.2489116538804306,394.60933243979787,6.040843297170736,PM,L1,1728,7479
4729,1729,PM,1262706122.1751108,5.987556449304842,-0.6434482355902532,972.851407787585,3.847317165585193,PM,L1,1729,2709
4730,1730,PM,1394343916.272823,0.4680209577516274,-0.1564122616963949,22.310191357127035,25.40560832841059,PM,L1,1730,1648
4731,1731,PM,1331959049.579582,3.7530174806287433,0.3983637653248417,457.1403419408342,5.61250152018625,PM,L1,1731,801
4732,1732,PM,1328301254.6905446,1.6146922903841796,-0.8424414210819529,972.1796327000845,3.8486461820630353,PM,L1,1732,6412
4733,1733,PM,1300957309.2221365,4.270423660715351,-1.0313200957697386,1178.3815675541166,3.495733172525311,PM,L1,1733,3022
4734,1734,PM,1246647508.7026546,4.377535101167276,0.4990772530725412,2000.0,1.186732635456916,PM,L1,1734,8721
4735,1735,PM,1199451756.646874,5.2964223360594245,-0.3712187575228845,157.64682565519817,9.55737509381279,PM,L1,1735,1950
