detector,data_mode,stage,variant,subset,catalog,candidate_kind,query_total,catalog_total,sis_lensed_images,sis_unlensed,pm_lensed_images,pm_unlensed,total_lensed_images,total_unlensed,epochs,backbone,preprocess,liao_label,liao_delay_count,sky_label,sky_scenario,true_sky_a90_deg2,weight_grid,deployment_note,component_keys,val_selected_r@1,val_selected_r@5,val_selected_r@10,lambda_waveform,valid,r@1,r@5,r@10,r@50,r@100,r@500,median_true_rank,top_1pct_k,top_1pct,top_5pct_k,top_5pct,top_10pct_k,top_10pct,lambda_raw_time,lambda_liao_time_lr,lambda_true_sky_sep,lambda_true_sky_step,lambda_true_sky_log_overlap
LIGO,noisy,stage8_true_sky_oracle_combinations,true_sky_step_only,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,oracle true ra/dec fixed A90,TRUE_SKY_ORACLE,1.0,"[0.25, 0.5, 1.0, 2.0, 4.0]",upper_bound_only_not_deployable,true_sky_step,1.0,1.0,1.0,,3000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,,,,1.0,
LIGO,noisy,stage8_true_sky_oracle_combinations,true_sky_step_only,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,oracle true ra/dec fixed A90,TRUE_SKY_ORACLE,1.0,"[0.25, 0.5, 1.0, 2.0, 4.0]",upper_bound_only_not_deployable,true_sky_step,1.0,1.0,1.0,,3000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,,,,1.0,
LIGO,noisy,stage8_true_sky_oracle_combinations,true_sky_step_only,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,oracle true ra/dec fixed A90,TRUE_SKY_ORACLE,1.0,"[0.25, 0.5, 1.0, 2.0, 4.0]",upper_bound_only_not_deployable,true_sky_step,1.0,1.0,1.0,,6000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,,,,1.0,
LIGO,noisy,stage8_true_sky_oracle_combinations,true_sky_log_overlap_only,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,oracle true ra/dec fixed A90,TRUE_SKY_ORACLE,1.0,"[0.25, 0.5, 1.0, 2.0, 4.0]",upper_bound_only_not_deployable,true_sky_log_overlap,1.0,1.0,1.0,,6000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,,,,,1.0
LIGO,noisy,stage8_true_sky_oracle_combinations,true_sky_log_overlap_only,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,oracle true ra/dec fixed A90,TRUE_SKY_ORACLE,1.0,"[0.25, 0.5, 1.0, 2.0, 4.0]",upper_bound_only_not_deployable,true_sky_log_overlap,1.0,1.0,1.0,,3000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,,,,,1.0
LIGO,noisy,stage8_true_sky_oracle_combinations,true_sky_log_overlap_only,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,oracle true ra/dec fixed A90,TRUE_SKY_ORACLE,1.0,"[0.25, 0.5, 1.0, 2.0, 4.0]",upper_bound_only_not_deployable,true_sky_log_overlap,1.0,1.0,1.0,,3000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,,,,,1.0
LIGO,noisy,stage8_true_sky_oracle_combinations,true_sky_log_overlap_only,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,oracle true ra/dec fixed A90,TRUE_SKY_ORACLE,1.0,"[0.25, 0.5, 1.0, 2.0, 4.0]",upper_bound_only_not_deployable,true_sky_log_overlap,1.0,1.0,1.0,,6000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,,,,,1.0
LIGO,noisy,stage8_true_sky_oracle_combinations,waveform_plus_true_sky_sep,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,oracle true ra/dec fixed A90,TRUE_SKY_ORACLE,1.0,"[0.25, 0.5, 1.0, 2.0, 4.0]",upper_bound_only_not_deployable,"waveform,true_sky_sep",0.243,0.4068333333333333,0.49816666666666665,1.0,6000,0.248,0.41133333333333333,0.5083333333333333,0.7685,0.8843333333333333,0.9995,10.0,90,0.8668333333333333,450,0.9988333333333334,900,1.0,,,4.0,,
LIGO,noisy,stage8_true_sky_oracle_combinations,waveform_plus_true_sky_sep,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,oracle true ra/dec fixed A90,TRUE_SKY_ORACLE,1.0,"[0.25, 0.5, 1.0, 2.0, 4.0]",upper_bound_only_not_deployable,"waveform,true_sky_sep",0.243,0.4068333333333333,0.49816666666666665,1.0,3000,0.2806666666666667,0.4583333333333333,0.5516666666666666,0.79,0.8916666666666667,0.9996666666666667,8.0,90,0.8766666666666667,450,0.9996666666666667,900,1.0,,,4.0,,
LIGO,noisy,stage8_true_sky_oracle_combinations,waveform_plus_true_sky_sep,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,oracle true ra/dec fixed A90,TRUE_SKY_ORACLE,1.0,"[0.25, 0.5, 1.0, 2.0, 4.0]",upper_bound_only_not_deployable,"waveform,true_sky_sep",0.243,0.4068333333333333,0.49816666666666665,1.0,3000,0.21533333333333332,0.36433333333333334,0.465,0.747,0.877,0.9993333333333333,13.0,90,0.857,450,0.998,900,1.0,,,4.0,,
