detector,data_mode,family,seed,target_lensed_event_fraction,val_auc_sampled,full_waveform_r@1,full_waveform_r@5,full_waveform_r@10,test_pair_count,test_unlensed_count,test_catalog_size,test_lensed_event_fraction,sub_waveform_r@1,sub_waveform_r@5,sub_waveform_r@10,sub_waveform_r@50,sub_waveform_median_rank,valid,rerank_r@1,rerank_r@5,rerank_r@10,rerank_r@50,rerank_median_rank
ET,pure,PM,7,0.1,1.0,0.9356666666666666,0.974,0.98,83,1500,1666,0.09963985594237695,0.9156626506024096,0.963855421686747,0.9759036144578314,0.9939759036144579,1.0,166,1.0,1.0,1.0,1.0,1.0
ET,pure,PM,8,0.1,1.0,0.9356666666666666,0.974,0.98,83,1500,1666,0.09963985594237695,0.927710843373494,0.9879518072289156,0.9939759036144579,1.0,1.0,166,1.0,1.0,1.0,1.0,1.0
ET,pure,PM,9,0.1,1.0,0.9356666666666666,0.974,0.98,83,1500,1666,0.09963985594237695,0.9578313253012049,0.9759036144578314,0.9879518072289156,1.0,1.0,166,1.0,1.0,1.0,1.0,1.0
ET,noisy,SIS,0,0.1,0.9999964436057482,0.407,0.5913333333333334,0.6576666666666666,83,1500,1666,0.09963985594237695,0.5060240963855421,0.6686746987951807,0.7108433734939759,0.8674698795180723,1.0,166,0.8855421686746988,1.0,1.0,1.0,1.0
ET,noisy,SIS,1,0.1,0.9999999274205255,0.407,0.5913333333333334,0.6576666666666666,83,1500,1666,0.09963985594237695,0.4939759036144578,0.6807228915662651,0.7530120481927711,0.8493975903614458,2.0,166,0.8734939759036144,0.9457831325301205,0.963855421686747,0.9698795180722891,1.0
ET,noisy,SIS,2,0.1,0.9999875889098563,0.407,0.5913333333333334,0.6576666666666666,83,1500,1666,0.09963985594237695,0.45180722891566266,0.5903614457831325,0.6506024096385542,0.8012048192771084,2.0,166,0.8674698795180723,0.9518072289156626,0.963855421686747,0.963855421686747,1.0
ET,noisy,SIS,3,0.1,1.0,0.407,0.5913333333333334,0.6576666666666666,83,1500,1666,0.09963985594237695,0.4457831325301205,0.6385542168674698,0.7048192771084337,0.8313253012048193,2.0,166,0.8373493975903614,0.927710843373494,0.9397590361445783,0.9698795180722891,1.0
ET,noisy,SIS,4,0.1,0.9999862824793148,0.407,0.5913333333333334,0.6576666666666666,83,1500,1666,0.09963985594237695,0.43373493975903615,0.572289156626506,0.6746987951807228,0.8132530120481928,3.0,166,0.8253012048192772,0.9096385542168675,0.963855421686747,0.9759036144578314,1.0
ET,noisy,SIS,5,0.1,0.9999742342865436,0.407,0.5913333333333334,0.6576666666666666,83,1500,1666,0.09963985594237695,0.5602409638554217,0.7409638554216867,0.8192771084337349,0.8734939759036144,1.0,166,0.8795180722891566,0.9578313253012049,0.9698795180722891,0.9939759036144579,1.0
ET,noisy,SIS,6,0.1,0.9999923428654377,0.407,0.5913333333333334,0.6576666666666666,83,1500,1666,0.09963985594237695,0.5783132530120482,0.7409638554216867,0.7831325301204819,0.8855421686746988,1.0,166,0.9337349397590361,0.963855421686747,0.963855421686747,0.9759036144578314,1.0
