event_name,catalog,gps_trigger_time,ra_median,dec_median,sky_area_90_deg2,network_snr,chirp_mass_median,mass_ratio_median,luminosity_distance_median,p_astro,mass_1_source,mass_2_source,pe_h5_file,sky_area_source,skymap_stats_file
GW190408_181802,GWTC-2.1-confident,1238782700.2,6.086630591060469,0.91207805,293.51302330672,14.6,18.450098303013586,0.7530121920643706,1539.5829624113358,1.0,24.8,18.5,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW190408_181802_PEDataRelease_mixed_cosmo.h5,skymap_stats,data/gwtc3_raw/skymap_stats/IGWN-GWTC2p1-v2-GW190408_181802_PEDataRelease_skymap_stats.txt
GW190412,GWTC-2.1-confident,1239082262.1,3.7316011372014026,0.6179171434559856,243.40267873339343,19.8,13.297348439917982,0.3254484214763091,721.0543064979521,1.0,27.7,9.0,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW190412_053044_PEDataRelease_mixed_cosmo.h5,skymap_stats,data/gwtc3_raw/skymap_stats/IGWN-GWTC2p1-v2-GW190412_053044_PEDataRelease_skymap_stats.txt
GW190413_134308,GWTC-2.1-confident,1239198206.7,2.718855882252142,-0.5334825973547102,627.6869135896256,10.6,33.322058714622045,0.6035666399327865,3830.291940731646,0.99058,51.3,30.4,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW190413_134308_PEDataRelease_mixed_cosmo.h5,skymap_stats,data/gwtc3_raw/skymap_stats/IGWN-GWTC2p1-v2-GW190413_134308_PEDataRelease_skymap_stats.txt
GW190421_213856,GWTC-2.1-confident,1239917954.2,3.356739790821056,-0.7491274515213515,1236.9985490754796,10.7,31.425354816166934,0.7835553465829957,2595.54792247717,0.99792,42.0,32.0,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW190421_213856_PEDataRelease_mixed_cosmo.h5,skymap_stats,data/gwtc3_raw/skymap_stats/IGWN-GWTC2p1-v2-GW190421_213856_PEDataRelease_skymap_stats.txt
GW190503_185404,GWTC-2.1-confident,1240944862.2,1.6608642971795375,-0.8924923816448298,100.3918330400386,12.2,29.284799871360356,0.6906143748965448,1522.3951,1.0,41.3,28.3,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW190503_185404_PEDataRelease_mixed_cosmo.h5,skymap_stats,data/gwtc3_raw/skymap_stats/IGWN-GWTC2p1-v2-GW190503_185404_PEDataRelease_skymap_stats.txt
GW190512_180714,GWTC-2.1-confident,1241719652.4,4.345555151012375,-0.45821589345910096,233.13846672754127,12.7,14.561138915045055,0.5383698172275743,1455.760465117931,1.0,23.2,12.5,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW190512_180714_PEDataRelease_mixed_cosmo.h5,skymap_stats,data/gwtc3_raw/skymap_stats/IGWN-GWTC2p1-v2-GW190512_180714_PEDataRelease_skymap_stats.txt
GW190513_205428,GWTC-2.1-confident,1241816086.7,0.7557193596032594,0.74847456,445.7931897370314,12.5,21.799962960489445,0.5058533043690747,2209.8334,0.99998,36.0,18.3,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW190513_205428_PEDataRelease_mixed_cosmo.h5,skymap_stats,data/gwtc3_raw/skymap_stats/IGWN-GWTC2p1-v2-GW190513_205428_PEDataRelease_skymap_stats.txt
GW190517_055101,GWTC-2.1-confident,1242107479.8,4.229930664185337,-0.7528248346622579,506.6788774546162,10.8,26.468327673675013,0.6185821260818489,1791.5592591074255,1.0,39.2,24.0,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW190517_055101_PEDataRelease_mixed_cosmo.h5,skymap_stats,data/gwtc3_raw/skymap_stats/IGWN-GWTC2p1-v2-GW190517_055101_PEDataRelease_skymap_stats.txt
GW190519_153544,GWTC-2.1-confident,1242315362.3,5.885984879920112,0.6574295,568.0289282876357,15.9,44.26993598122556,0.6272431126581267,2601.6756757134617,1.0,65.1,40.8,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW190519_153544_PEDataRelease_mixed_cosmo.h5,skymap_stats,data/gwtc3_raw/skymap_stats/IGWN-GWTC2p1-v2-GW190519_153544_PEDataRelease_skymap_stats.txt
GW190521,GWTC-2.1-confident,1242442967.4,3.9523697040914083,0.45673467527145917,1020.5236903836748,14.3,63.29157771847297,0.5871440654473903,3310.919417540194,0.99989,98.4,57.2,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW190521_030229_PEDataRelease_mixed_cosmo.h5,skymap_stats,data/gwtc3_raw/skymap_stats/IGWN-GWTC2p1-v2-GW190521_030229_PEDataRelease_skymap_stats.txt
GW190521_074359,GWTC-2.1-confident,1242459857.4,4.924029077138774,0.32806694988486607,466.9240781405077,25.9,32.765367927188215,0.7748871151831879,1079.703540685226,1.0,43.4,33.4,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW190521_074359_PEDataRelease_mixed_cosmo.h5,skymap_stats,data/gwtc3_raw/skymap_stats/IGWN-GWTC2p1-v2-GW190521_074359_PEDataRelease_skymap_stats.txt
GW190602_175927,GWTC-2.1-confident,1243533585.0,1.3320917131659789,-0.48126321408527284,738.6699264859639,13.2,47.991204213097916,0.6297147273357068,2835.537474331219,1.0,71.8,44.8,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW190602_175927_PEDataRelease_mixed_cosmo.h5,skymap_stats,data/gwtc3_raw/skymap_stats/IGWN-GWTC2p1-v2-GW190602_175927_PEDataRelease_skymap_stats.txt
GW190620_030421,GWTC-2.1-confident,1245035079.3,4.299910572179483,0.3904275427947155,7655.509358815094,12.1,38.1152928278308,0.6062876052399288,2907.199303257211,0.98748,58.0,35.0,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW190620_030421_PEDataRelease_mixed_cosmo.h5,skymap_stats,data/gwtc3_raw/skymap_stats/IGWN-GWTC2p1-v2-GW190620_030421_PEDataRelease_skymap_stats.txt
GW190630_185205,GWTC-2.1-confident,1245955943.1,5.837619815824708,-0.13612821722330826,956.0237605647133,16.4,25.077671901970533,0.6804298526829904,873.2665850000001,1.0,35.1,24.0,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW190630_185205_PEDataRelease_mixed_cosmo.h5,skymap_stats,data/gwtc3_raw/skymap_stats/IGWN-GWTC2p1-v2-GW190630_185205_PEDataRelease_skymap_stats.txt
GW190701_203306,GWTC-2.1-confident,1246048404.5,0.661326827886137,-0.120427256775536,44.64978867335324,11.2,40.19769039409023,0.7607013720777424,2090.7693,0.99986,54.1,40.5,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW190701_203306_PEDataRelease_mixed_cosmo.h5,skymap_stats,data/gwtc3_raw/skymap_stats/IGWN-GWTC2p1-v2-GW190701_203306_PEDataRelease_skymap_stats.txt
GW190706_222641,GWTC-2.1-confident,1246487219.3,3.004004222637622,0.469204865,2596.285258586543,13.4,45.562847479137915,0.5378784082356378,3625.2059,1.0,74.0,39.4,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW190706_222641_PEDataRelease_mixed_cosmo.h5,skymap_stats,data/gwtc3_raw/skymap_stats/IGWN-GWTC2p1-v2-GW190706_222641_PEDataRelease_skymap_stats.txt
